Food_Code,Thai_Name,English_Name,Scientific_name,SUGAR(g),Protein(g),Fat(g),Energy(kcal) by calculation,CHOCDF (g) Carbohydrate,FIBTG (g) Dietary fibre
C53,"เต้าหู้พวง, ทอด","Soybean curd (tofu), cube, dried, deep-fried",Glycine max,-,25.23,31.96,-,-,2.5
C55,"เต้าหู้เหลือง, แข็ง","Soybean curd (tofu), yellow, hard",Glycine max,-,12.16,6.2,120,3.97,-
C56,"เต้าหู้เหลือง, แห้ง, ดิบ","Soybean curd (tofu), yellow, dried",Glycine max,-,50.67,26.01,468,7.7,-
C57,"เต้าหู้เหลือง, แห้ง, ทอด","Soybean curd (tofu), yellow, dried, deep-fried",Glycine max,-,34.05,51.53,613,3.3,-
C58,เต้าหู้ยี้,"Soybean cheese, fermented tofu",Glycine max,-,11.21,5.29,129,9.23,-
C6,"ถั่วดำ, เมล็ดแห้ง, ดิบ","Cowpea, mature seeds, black, dried, raw",Vigna mungo,-,23.99,2.31,-,-,19.7
C63,"ถั่วเหลืองผง, ชนิดไขมันเต็ม","Soybean powder, full fat",Glycine max,-,35.82,21.5,-,-,6
C64,"ถั่วเหลืองผง, ชนิดสกัดไขมันออก","Soybean powder, defatted",Glycine max,-,48.87,1.1,-,-,17
C65,"ขนุน, เมล็ดสด, ดิบ","Jackfruit, seeds, fresh, raw",Artocarpus heterophyllus,-,5.5,0.2,153,32.21,-
C66,"ทานตะวัน, เมล็ด, แห้ง, ดิบ","Sunflowers, seed kernel, dried, raw",Helianthus annuus,1.9,23.4,52.1,-,-,11.1
C67,"ฟักทอง, เมล็ด, พันธุ์ต่างๆ, แกะเปลือก, สด","Pumpkin, seed kernels, raw",Cucurbita moschata,-,16.84,32.48,-,-,6.7
C69,"เงาะ, เมล็ด, ต้ม","Rambutan, seeds, boiled",Nephelium lappaccum Linn.,-,6.79,28.77,397,27.77,-
C71,"มะขาม, เมล็ด, คั่ว","Tamarind seed, roasted",Tamarindus indica,-,14.35,7.48,386,65.31,-
C72,"มะม่วงหิมพานต์, เมล็ดสด, ดิบ","Cashew nut, fresh, raw",Anacardium occidentale,-,11.56,23,-,-,4.5
C73,"มะม่วงหิมพานต์, เมล็ดแห้ง, คั่ว","Cashew nut, roasted",Anacardium occidentale,-,19.5,44.8,597,29,-
C74,"มะม่วงหิมพานต์, เมล็ดแห้ง, อบ","Cashew nut, baked",Anacardium occidentale,-,23.37,41.75,589,29.97,-
C77,"วุ้นเส้น, ถั่วเขียว 100 %, แห้ง","Mungbean, noodles, dried",Vigna radiata,1.94,0.14,0.2,-,-,4.9
C78,"วุ้นเส้นกึ่งสำเร็จรูป, พร้อมเครื่องปรุง, รสต่างๆ","Mungbean, noodles, instant, with seasonings, mix flavours",Vigna radiata,4.89,1.67,4.65,-,-,1.6
C79,"ก๋วยเตี๋ยวเซี่ยงไฮ้, แห้ง","Noodles, Mungbean sheets, dried (Shanghai-style noodles)",-,0,0.2,0.1,-,-,1.8
C8,"ถั่วนางหอม, เมล็ดแห้ง, ดิบ","Sweet pea, mature seeds, dried, raw",Lathyrus odoratus,-,23.1,1.2,354,62.7,-
C85,"มะม่วงหิมพานต์, เมล็ดแห้ง, ดิบ","Cashew nut, dried, raw",Anacardium occidentale,5.11,18.9,46.95,-,-,4.9
C9,"ถั่วนางหอม, เมล็ดแห้ง, ปอกเปลือก","Sweet pea, mature seeds, dehulled, dried, raw",Lathyrus odoratus,-,22.13,1.4,352,62.67,-
C95,"ฟักทอง, เมล็ด, พันธุ์ต่างๆ, แกะเปลือก, คั่ว","Pumpkin, seed kernels, roasted",Cucurbita moschata,-,25.61,49.05,-,-,5.2
C96,"ฟักทอง, เมล็ด, พันธุ์ต่างๆ, แกะเปลือก, ต้มใส่เกลือ อบ","Pumpkin, seed curnels, different varieties, salted baked",Cucurbita spp.,-,22.92,45.67,-,-,5.9
