Food_Code,Thai_Name,English_Name,Scientific_name,SUGAR(g),Protein(g),Fat(g),Energy(kcal) by calculation,CHOCDF (g) Carbohydrate,FIBTG (g) Dietary fibre
Z060069,"เทเบิล วอเตอร์ วิท โทสเต็ด เซซามิ ซีดส์ (แครกเกอร์ผสมเมล็ดงา), คาร์ส","Cracker, sesame seed",ประเทศสหราชอาณาจักร ภายใต้การควบคุมของยูไนเต็ด บิสกิต,3.23,9.68,8.06,-,77.42,-
Z060070,"ไฮไลพ์ แครกเกอร์โรยงา, อิมพิเรียล","Cracker, sesame seed topping",บริษัท อิมพีเรียลเยนเนอรัลฟูดส์อินดัสทรี จำกัด,0,9.38,18.75,-,68.75,3.1
Z060071,"แครกเกอร์อบกรอบรสซาวร์ครีมและหัวหอม, อาซาโนะ","Cracker, sour cream and onion flavour",ประเทศจีน,6.67,10,20,-,60,-
Z060072,"โซอ์ แครกเกอร์ แครกเกอร์ถั่วเหลือง, มิซูร่า","Cracker, soy, plain",ประเทศอิตาลี,5,12.5,15,-,65,-
Z060073,"แครกเกอร์ไส้ครีมสตรอเบอร์รี่, สวีตไทม์","Cracker, strawberry cream filling",บริษัท อิมพีเรียลเยนเนอรัลฟูดส์อินดัสทรี่ จำกัด,14.81,7.41,29.63,-,62.96,-
Z060074,"แครกเกอร์เคลือบช็อกโกแลต สอดไส้ครีมกลิ่นวานิลลา, วอยซ์ โอเวอร์โลด","Cracker, vanilla cream filling, chocolate coated",บริษัท มอนเด นิสชิน คอร์ปอเรชั่น ประเทศฟิลิปปินส์,40,4,20,-,72,-
Z060075,"แครกเกอร์ผสมผัก, ไฮไลพ์","Cracker, vegetable",บริษัท อิมพีเรียลเยนเนอรัลฟูดส์อินดัสทรี จำกัด,0,10,23.33,-,63.33,3.3
Z060076,"แครกเกอร์ผสมจมูกข้าวสาลีชนิดเค็ม, คาร์ส เม็ลท์","Cracker, wheat germ, salted",ประเทศเนเธอร์แลนด์ ภายใต้การควบคุมของยูไนเต็ด บิสกิต,9.38,9.38,25,-,59.38,-
Z060077,"โกลด์ฟิช โฮล เกรน เบค สแน็ค แครกเกอร์ (แครกเกอร์ธัญพืชรูปปลา รสเชดดาชีส), เปปเปอร์ริดจ์ฟาร์ม","Cracker, whole grain, baked, cheddar cheese, fish shape",ประเทศสหรัฐอเมริกา / บริษัท เปปเปอร์ริดจ์ฟาร์ม จำกัด,0,13.33,20,-,63.33,-
Z060078,"โฮลวีทแครกเกอร์, โคลุสซี่","Cracker, whole wheat",ประเทศอิตาลี / โคลสซี่ เอส พี เอ,0,11.11,11.11,-,72.22,-
Z060079,"โฮลวีท แครกเกอร์, บิสชิน","Cracker, whole wheat",บริษัท ไทยเพรซิเดนท์ฟูดส์ จำกัด(มหาชน),0,6.67,26.67,-,60,-
Z060080,"โรซี่ โฮลวีท แครกเกอร์, อิมพิเรียล","Cracker, whole wheat",บริษัท อิมพีเรียลเยนเนอรัลฟูดส์อินดัสทรี จำกัด,10,6.67,23.33,-,63.33,-
Z060081,"เบเกอร์ส ชอยส์ โฮลวีท ครีม แครกเกอร์, อิมพิเรียล","Cracker, whole wheat cream",บริษัท อิมพีเรียลเยนเนอรัลฟูดส์อินดัสทรี จำกัด,0,10,23.33,-,63.33,3.3
